fl_date,mkt_unique_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,crs_elapsed_time,air_time,distance
2019-09-01,AA,3,AA,N101NN,3,12478,JFK,"New York, NY",12892,LAX,"Los Angeles, CA",1229,1227,-2,16,1243,1458,4,1526,1502,-24,357,315,2475
2019-09-01,AA,6,AA,N789AN,6,13830,OGG,"Kahului, HI",11298,DFW,"Dallas/Fort Worth, TX",1755,2122,207,15,2137,914,8,610,922,192,435,397,3711
2019-10-01,AA,5126,OH,N568NN,5126,14576,ROC,"Rochester, NY",11057,CLT,"Charlotte, NC",1137,1130,-7,10,1140,1306,15,1343,1321,-22,126,86,573
2019-02-01,AA,218,AA,N355PU,218,11057,CLT,"Charlotte, NC",13303,MIA,"Miami, FL",1325,1342,17,26,1408,1542,5,1535,1547,12,130,94,650
2019-11-01,AA,5810,YV,N907FJ,5810,11298,DFW,"Dallas/Fort Worth, TX",11775,FSD,"Sioux Falls, SD",1854,1859,5,20,1919,2058,5,2100,2103,3,126,99,737
2019-06-01,AA,2320,AA,N553UW,2320,14107,PHX,"Phoenix, AZ",10721,BOS,"Boston, MA",1237,1233,-4,28,1301,2035,10,2037,2045,8,300,274,2300
2019-10-01,AA,5121,OH,N598NN,5121,10868,CAE,"Columbia, SC",11057,CLT,"Charlotte, NC",641,637,-4,12,649,713,6,746,719,-27,65,24,88
2019-04-29,AA,3,AA,N110AN,3,12478,JFK,"New York, NY",12892,LAX,"Los Angeles, CA",1200,1154,-6,18,1212,1449,7,1522,1456,-26,382,337,2475
2019-04-29,AA,4,AA,N108NN,4,12892,LAX,"Los Angeles, CA",12478,JFK,"New York, NY",1100,1236,96,13,1249,2037,9,1934,2046,72,334,288,2475
2019-09-01,AA,850,AA,N120EE,850,11298,DFW,"Dallas/Fort Worth, TX",12892,LAX,"Los Angeles, CA",712,710,-2,12,722,801,8,836,809,-27,204,159,1235
2019-05-01,AA,4541,YX,N101HQ,4541,13198,MCI,"Kansas City, MO",14100,PHL,"Philadelphia, PA",1058,1054,-4,10,1104,1416,7,1439,1423,-16,161,132,1038
2019-04-29,AA,1,AA,N108NN,1,12478,JFK,"New York, NY",12892,LAX,"Los Angeles, CA",800,754,-6,16,810,1059,17,1127,1116,-11,387,349,2475
