fl_date,mkt_carrier,dep_delay,taxi_out,taxi_in,air_time,distance,arr_delay
2019-11-01,DL,-1,23,3,80,399,-11
2019-10-01,DL,0,25,6,64,383,-7
2019-11-01,DL,-7,9,32,103,867,-22
2019-07-01,DL,-8,20,4,185,1254,-12
2019-06-01,DL,-3,16,4,113,926,-20
2019-09-01,DL,-10,12,15,33,164,-22
2019-08-01,DL,-5,14,5,31,143,-15
2019-08-01,DL,-7,23,7,31,143,-18
2019-06-01,DL,-1,10,3,61,363,-13
2019-08-01,DL,-5,16,7,142,961,-10
2019-12-01,DL,22,15,5,61,407,22
2019-01-01,DL,239,17,3,67,449,215
2019-01-01,DL,-1,23,10,77,508,0
2019-06-01,DL,-5,9,7,56,363,-21
2019-04-30,DL,-5,10,20,85,483,-14
2019-03-01,DL,62,20,13,31,83,61
2019-09-01,DL,-11,23,10,74,563,-20
2019-04-30,DL,-2,25,4,83,483,-6
2019-03-01,DL,17,17,4,88,645,6
2019-11-01,DL,-7,20,7,51,184,-26
2019-10-01,DL,-6,19,4,73,521,-24
2019-02-01,DL,16,40,4,63,411,25
2019-12-01,DL,22,21,6,65,431,9
2019-09-01,DL,-3,30,4,162,1107,-7
2019-03-01,DL,75,24,1,19,83,72
2019-01-01,DL,-5,12,4,55,297,-15
2019-06-01,DL,-1,13,5,28,113,-9
2019-05-01,DL,5,16,8,44,235,-9
2019-11-01,DL,-2,23,11,142,867,-11
2019-10-01,DL,-11,43,6,43,223,7
2019-02-01,DL,20,12,12,127,1031,1
2019-05-01,DL,9,15,16,130,986,6
2019-10-01,DL,2,10,13,84,551,0
2019-04-30,DL,-7,27,6,110,764,-23
2019-05-01,DL,-3,21,15,49,290,-28
2019-04-30,DL,3,32,5,62,431,-5
2019-01-01,DL,29,10,6,95,566,6
2019-09-01,DL,-4,19,4,48,273,-8
2019-07-01,DL,33,20,5,22,147,25
2019-06-01,DL,-9,21,6,48,302,-15
2019-10-01,DL,101,13,7,102,764,56
2019-01-01,DL,-6,19,4,61,453,-31
2019-12-01,DL,41,22,7,50,264,18
2019-02-01,DL,-17,46,22,46,280,-3
2019-11-01,DL,-4,23,9,39,200,-21
2018-05-01,F9,-5,16,10,141,1013,-13
2018-02-01,F9,-1,19,6,211,1849,-13
2018-02-01,F9,-6,16,6,123,967,-12
2018-12-01,F9,47,9,6,72,479,39
2018-04-01,F9,-10,17,12,158,1258,-21
2018-03-01,F9,-10,11,7,201,1454,-18
2018-01-01,F9,2,27,6,141,1189,5
2018-09-01,F9,-2,8,7,173,1520,-32
2018-08-01,F9,0,13,14,156,1337,-11
2018-03-01,F9,-7,14,7,291,2039,-14
2018-09-01,F9,0,18,11,201,1587,13
2018-01-01,F9,7,33,8,139,967,20
2018-09-01,F9,3,14,6,118,853,-3
2018-05-01,F9,-4,21,5,134,1013,-27
2018-01-01,F9,99,10,7,124,1028,78
2018-08-01,F9,2,12,6,129,1024,-11
2018-02-01,F9,2,14,30,255,1849,1
2018-12-01,F9,-13,10,9,147,1024,-12
2018-11-01,F9,-8,19,9,257,2065,4
2018-12-01,F9,-10,13,6,301,2039,-6
2018-05-01,F9,-7,14,115,173,1440,82
2018-07-01,F9,-10,17,7,158,1166,9
2018-07-01,F9,29,14,7,114,874,15
2018-09-01,F9,-2,17,6,190,1520,-35
2018-01-01,F9,36,11,5,122,1034,19
2018-07-01,F9,0,11,8,132,928,6
2018-02-01,F9,-8,15,6,118,684,1
2018-02-01,F9,-11,12,11,90,684,-13
2018-01-01,F9,20,18,7,86,551,19
2018-04-01,F9,-1,40,7,85,541,22
2018-04-01,F9,-4,13,10,112,680,-6
2018-12-01,F9,1,15,10,150,1069,-20
2018-08-01,F9,71,21,13,102,585,89
2018-09-01,F9,5,23,9,92,616,16
2018-05-01,F9,-10,14,11,94,629,-9
2018-03-01,F9,111,18,8,272,2039,143
2018-10-01,F9,38,19,6,158,1224,24
2018-05-01,F9,161,11,8,185,1678,133
2018-03-01,F9,-8,14,21,185,1199,-2
2018-03-01,F9,-10,26,5,166,1454,-13
2018-08-01,F9,86,62,8,220,1620,117
2018-07-01,F9,15,15,5,103,819,-1
2018-04-01,F9,29,14,8,129,1199,3
2018-07-01,F9,-1,8,8,51,349,-19
2018-08-01,F9,-9,9,8,153,1024,-10
2018-04-01,F9,-8,14,8,68,541,-15
2019-10-01,F9,43,9,9,140,1069,14
2019-04-01,F9,75,11,6,106,753,63
2019-02-01,F9,-9,19,12,144,1053,4
2019-01-01,F9,2,12,7,63,484,-16
2019-05-01,F9,-6,26,9,220,1558,-21
2019-05-01,F9,-5,22,9,122,896,-1
2019-06-01,F9,-10,11,14,189,1359,-15
2019-04-01,F9,8,15,6,279,2039,-15
2019-04-01,F9,-10,13,7,82,551,-12
2019-04-01,F9,-7,17,5,81,604,-28
2019-03-01,F9,-6,65,16,139,896,47
2019-11-01,F9,-10,14,7,81,585,-21
2019-10-01,F9,-4,18,8,106,846,-12
2019-03-01,F9,-10,14,8,180,1209,-8
2019-09-01,F9,-10,10,12,84,604,-26
2019-02-01,F9,10,13,6,148,1053,-12
2019-01-01,F9,7,11,13,85,484,7
2019-11-01,F9,-10,16,9,222,1620,-29
2019-05-01,F9,62,27,7,140,1014,55
2019-01-01,F9,-9,10,4,132,1053,-23
2019-10-01,F9,-7,10,5,211,1476,-30
2019-11-01,F9,-2,19,12,97,541,15
2019-06-01,F9,8,14,10,74,484,-3
2019-02-01,F9,-5,14,7,142,1136,-20
2019-03-01,F9,1,18,6,129,1209,-25
2019-03-01,F9,4,11,15,141,862,9
2019-01-01,F9,30,14,5,117,955,10
2019-11-01,F9,139,23,13,101,628,155
2019-01-01,F9,0,15,26,149,955,21
2019-03-01,F9,1,16,6,134,846,8
2019-10-01,F9,82,18,8,86,585,40
2019-04-01,F9,-6,15,6,83,551,-24
2019-11-01,F9,25,12,7,121,1069,11
2019-09-01,F9,-4,10,5,233,1984,-26
2019-05-01,F9,2,12,21,138,1026,10
2019-10-01,F9,-10,10,6,132,846,-11
2019-05-01,F9,-2,16,6,139,1199,-22
2018-08-01,G4,-9,9,7,86,588,-8
2018-02-01,G4,-6,9,6,120,870,-8
