fl_date,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,dest_airport_id,dest,dep_delay,taxi_out,taxi_in,air_time,distance,arr_delay
2018-05-01,AS,3331,OO,N188SY,3331,10800,BUR,14831,SJC,-17,11,7,48,296,-25
2018-06-01,AS,2001,QX,N450QX,2001,16101,YKM,14747,SEA,-1,6,5,30,103,1
2018-01-01,AS,37,AS,N409AS,37,13487,MSP,14747,SEA,10,21,7,188,1399,-20
2018-10-01,AS,3297,KS,N682PA,3297,11445,DUT,10299,ANC,-1,2,3,133,792,-13
2018-07-01,AS,2003,QX,N413QX,2003,16101,YKM,14747,SEA,23,4,9,30,103,22
2018-05-01,AS,3330,OO,N179SY,3330,11259,DAL,11278,DCA,-12,14,3,150,1184,-13
2018-06-01,AS,2030,QX,N443QX,2030,14747,SEA,13127,LWS,-6,7,6,44,261,-15
2018-02-01,AS,3303,OO,N176SY,3303,15376,TUS,14831,SJC,-14,24,7,111,722,-22
2018-11-01,AS,2,AS,N526AS,2,14747,SEA,11278,DCA,-2,18,4,264,2329,-27
2018-09-01,AS,3286,KS,N687PA,3286,10299,ANC,11445,DUT,-1,2,3,126,792,-5
2018-08-01,AS,2,AS,N592AS,2,14747,SEA,11278,DCA,11,15,2,303,2329,20
2018-01-01,AS,36,AS,N409AS,36,14747,SEA,13487,MSP,-9,45,4,173,1399,12
2018-08-01,AS,35,AS,N492AS,35,11697,FLL,14747,SEA,107,14,8,350,2717,88
2018-01-01,AS,65,AS,N611AS,65,12523,JNU,10299,ANC,10,28,4,88,571,27
2018-10-01,AS,20,AS,N280AK,20,14747,SEA,13930,ORD,2,11,16,191,1721,-30
2018-05-01,AS,3329,OO,N179SY,3329,11259,DAL,14831,SJC,-7,15,7,228,1450,-12
2018-06-01,AS,2021,QX,N443QX,2021,10275,ALW,14747,SEA,-4,12,5,53,213,4
2018-07-01,AS,2004,QX,N439QX,2004,14747,SEA,16101,YKM,-2,9,2,26,103,-7
2018-11-01,AS,10,AS,N467AS,10,14747,SEA,13204,MCO,7,12,8,287,2554,-10
2018-07-01,AS,2001,QX,N438QX,2001,16101,YKM,14747,SEA,-9,6,5,29,103,-8
2018-05-01,AS,3364,OO,N187SY,3364,14831,SJC,12892,LAX,-11,21,18,54,308,-12
2018-12-01,AS,17,AS,N434AS,17,14100,PHL,14747,SEA,12,20,6,302,2378,-31
2018-12-01,AS,16,AS,N292AK,16,14747,SEA,13204,MCO,-9,24,28,311,2554,16
2018-11-01,AS,1,AS,N528AS,1,11278,DCA,14747,SEA,-3,23,6,339,2329,5
2018-03-01,AS,3310,OO,N174SY,3310,14747,SEA,14057,PDX,-4,11,5,33,129,-10
2018-12-01,AS,50,AS,N644AS,50,14709,SCC,10754,BRW,48,13,4,41,204,55
2018-02-01,AS,3356,OO,N177SY,3356,14057,PDX,13891,ONT,-6,13,5,111,838,-19
2018-11-01,AS,3,AS,N585AS,3,11278,DCA,14747,SEA,-18,17,5,338,2329,-14
2018-12-01,AS,18,AS,N552AS,18,14747,SEA,12478,JFK,6,23,11,312,2422,38
2018-02-01,AS,3300,OO,N189SY,3300,14831,SJC,10423,AUS,-13,18,4,198,1476,7
2019-12-01,AS,2087,QX,N403QX,2087,10275,ALW,14747,SEA,17,6,6,42,213,4
2019-01-01,AS,3368,OO,N185SY,3368,14831,SJC,10423,AUS,0,24,5,192,1476,9
2019-05-01,AS,4,AS,N581AS,4,14747,SEA,11278,DCA,-6,20,4,282,2329,-15
2019-02-01,AS,3297,KS,N687PA,3297,11445,DUT,10299,ANC,-1,3,4,123,792,-21
2019-11-01,AS,3307,OO,N183SY,3307,14869,SLC,14057,PDX,-7,10,5,94,630,-23
2019-02-01,AS,1,AS,N534AS,1,11278,DCA,14747,SEA,-6,28,8,335,2329,0
2019-04-01,AS,2038,QX,N637QX,2038,14747,SEA,12278,ICT,-1,44,4,161,1430,-2
2019-09-01,AS,3310,OO,N403SY,3310,14057,PDX,10800,BUR,-10,10,4,124,817,-12
2019-04-01,AS,2001,QX,N436QX,2001,16101,YKM,14747,SEA,-5,7,3,24,103,-16
2019-09-01,AS,3305,OO,N170SY,3305,14057,PDX,14893,SMF,-7,13,4,72,479,-13
2019-02-01,AS,3296,KS,N687PA,3296,10299,ANC,11445,DUT,-5,4,3,142,792,9
2019-05-01,AS,8,AS,N264AK,8,14747,SEA,11618,EWR,-5,22,12,288,2402,-13
2019-03-01,AS,36,AS,N413AS,36,14747,SEA,13487,MSP,-2,17,15,168,1399,-2
2019-08-01,AS,3300,OO,N177SY,3300,14831,SJC,10423,AUS,9,13,4,201,1476,2
2019-07-01,AS,3341,OO,N176SY,3341,14869,SLC,14747,SEA,-5,14,7,99,689,-20
2019-03-01,AS,38,AS,N548AS,38,14747,SEA,11697,FLL,31,23,3,297,2717,9
2019-06-01,AS,131,AS,N280AK,131,14057,PDX,10299,ANC,-6,15,2,197,1542,-12
2019-03-01,AS,37,AS,N413AS,37,13487,MSP,14747,SEA,9,89,7,207,1399,72
2019-12-01,AS,2001,QX,N430QX,2001,16101,YKM,14747,SEA,0,30,8,25,103,17
2019-11-01,AS,3304,OO,N192SY,3304,14831,SJC,15376,TUS,-3,9,4,96,722,-19
2019-06-01,AS,130,AS,N263AK,130,10299,ANC,14057,PDX,-8,10,6,191,1542,-16
2019-01-01,AS,3330,OO,N184SY,3330,14747,SEA,10713,BOI,-3,17,3,55,399,-12
2019-06-01,AS,128,AS,N224AK,128,11630,FAI,14747,SEA,-6,7,4,188,1533,-22
2019-01-01,AS,3329,OO,N185SY,3329,11259,DAL,14831,SJC,14,25,5,225,1450,14
2019-08-01,AS,3296,KS,N687PA,3296,10299,ANC,11445,DUT,202,5,3,132,792,198
2019-10-01,AS,3308,OO,N196SY,3308,14679,SAN,15023,STS,-5,17,12,79,508,-12
2019-10-01,AS,3312,OO,N194SY,3312,14057,PDX,11259,DAL,4,14,8,216,1626,7
2019-03-01,AS,60,AS,N592AS,60,12523,JNU,12819,KTN,-16,15,4,37,234,-20
2019-06-01,AS,110,AS,N428AS,110,14771,SFO,12478,JFK,1,18,22,301,2586,-3
2019-12-01,AS,2002,QX,N441QX,2002,14747,SEA,16101,YKM,-8,27,4,33,103,4
2019-02-01,AS,3299,KS,N681PA,3299,11445,DUT,10299,ANC,18,5,2,118,792,-7
2019-11-01,AS,3303,OO,N400SY,3303,15376,TUS,14831,SJC,-9,13,5,103,722,-28
2019-11-01,AS,3306,OO,N183SY,3306,14057,PDX,14869,SLC,-5,12,7,86,630,0
2019-07-01,AS,3301,OO,N187SY,3301,10423,AUS,14831,SJC,-8,17,7,207,1476,-2
2019-11-01,AS,3305,OO,N197SY,3305,14057,PDX,14893,SMF,-3,17,4,68,479,-9
2019-07-01,AS,3302,OO,N189SY,3302,13796,OAK,14057,PDX,-10,11,4,74,543,-21
2019-10-01,AS,3309,OO,N194SY,3309,11259,DAL,14057,PDX,0,19,7,211,1626,-23
2019-07-01,AS,3303,OO,N171SY,3303,15376,TUS,14831,SJC,-5,8,16,101,722,-5
2019-04-01,AS,2035,QX,N448QX,2035,14057,PDX,11603,EUG,-7,6,3,25,106,-13
2019-01-01,AS,3336,OO,N193SY,3336,14679,SAN,10423,AUS,-8,17,3,149,1164,-11
2019-12-01,AS,2003,QX,N405QX,2003,10713,BOI,14747,SEA,-3,22,6,84,399,6
2019-08-01,AS,3297,KS,N687PA,3297,11445,DUT,10299,ANC,214,3,4,122,792,208
2019-10-01,AS,3311,OO,N170SY,3311,15023,STS,12892,LAX,-8,15,13,58,400,-22
2019-06-01,AS,129,AS,N277AK,129,12478,JFK,12892,LAX,0,33,7,333,2475,-7
2019-09-01,AS,3303,OO,N195SY,3303,15376,TUS,14831,SJC,-13,9,6,97,722,-41
2019-01-01,AS,3328,OO,N189SY,3328,14831,SJC,11259,DAL,-3,10,6,186,1450,-9
2019-05-01,AS,7,AS,N440AS,7,12478,JFK,14747,SEA,-7,16,27,318,2422,-26
2019-09-01,AS,3304,OO,N185SY,3304,14831,SJC,15376,TUS,0,16,5,106,722,2
2019-04-01,AS,2037,QX,N624QX,2037,11884,GEG,14057,PDX,-6,10,11,55,279,-10
2019-05-01,AS,1,AS,N520AS,1,11278,DCA,14747,SEA,-4,35,8,313,2329,-8
2019-09-01,AS,3306,OO,N177SY,3306,14057,PDX,14869,SLC,-10,11,10,88,630,-1
2019-07-01,AS,3300,OO,N183SY,3300,14831,SJC,10423,AUS,-7,21,5,196,1476,-10
2019-03-01,AS,35,AS,N548AS,35,11697,FLL,14747,SEA,-7,16,9,388,2717,-9
2019-02-01,AS,3298,KS,N681PA,3298,10299,ANC,11445,DUT,-4,16,2,142,792,21
2019-04-01,AS,2039,QX,N646QX,2039,11259,DAL,14747,SEA,-5,17,4,253,1670,-11
2019-10-01,AS,3344,OO,N403SY,3344,14679,SAN,11259,DAL,-10,29,3,160,1182,-8
2018-05-01,B6,16,B6,N980JB,16,14771,SFO,12478,JFK,-8,19,6,301,2586,-20
2018-08-01,B6,2890,B6,N663JB,2890,14843,SJU,11618,EWR,20,13,6,207,1608,6
2018-01-01,B6,4,B6,N965JB,4,14843,SJU,12478,JFK,25,23,14,223,1598,37
